```text
# Example pedigree input file for pedigree_relationship_calculator.py
#
# File format:
# gid|name|dam|sire|method_code|include
#
# Columns:
# gid         = unique numeric germplasm identifier
# name        = line, variety, parent, or cross name
# dam         = female parent / first parent GID; use 0 if unknown
# sire        = male parent / second parent GID; use 0 if unknown
# method_code = FND, GEN, DER, SEL, or MAN
# include     = Y to include in the COP matrix; N for ancestors only
#
# Method codes:
# FND = founder / no known parents
# GEN = generative cross using dam and sire
# DER = derived or selected line
# SEL = selection; treated similarly to DER
# MAN = management/release/increase step; treated as no genetic change
#
gid|name|dam|sire|method_code|include
F001|Founder Alpha|0|0|FND|no
F002|Founder Bravo|0|0|FND|no
F003|Founder Cedar|0|0|FND|no
F004|Founder Delta|0|0|FND|no
C001|Alpha x Bravo|F001|F002|GEN|no
C002|Cedar x Delta|F003|F004|GEN|no
L001|Line One|C001|C002|GEN|yes
L002|Line Two|C001|F003|GEN|yes
L003|Line Three Selection|L001|0|DER|yes
L004|Line Four Increase|L003|0|MAN|yes
L005|Line Five|L002|L003|GEN|yes
